iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5],gamma[6],beta[6],gamma[7],beta[7],gamma[8],beta[8],gamma[9],beta[9],gamma[10],beta[10],gamma[11],beta[11],gamma[12],beta[12],gamma[13],beta[13]
30,-13.291406601667404,0.5224310368299484,0.6204145461320877,0.6057672150433063,0.5004757665097713,0.6173544213175773,0.6059539191424846,0.6659070387482643,0.5167001098394394,0.5932799860835075,0.5875607267022133,0.620812563598156,0.5133185483515262,0.5593070186674595,0.613692993670702,0.6244418196380138,0.5235658720135689,0.615249066054821,0.6092893354594707,0.635330232232809,0.48539948686957357,0.6061930082738399,0.6378265343606472,0.6569043941795826,0.5377113319933414,0.5870371744036674,0.6448143780231476,0.5871283285319805,0.48881077244877813
31,-13.294582068920135,0.5216360449790954,0.620940363407135,0.6062790252268314,0.500462131947279,0.6174312517046928,0.6061639063060283,0.6662776753306389,0.5167398512363434,0.5934432879090309,0.5873826280236244,0.6209620669484138,0.5130607433617115,0.5587806798517704,0.6129170306026935,0.6243182890117168,0.5235668107867241,0.6155606642365455,0.609211178869009,0.6356600992381573,0.4856904916465282,0.6061909817159176,0.6377195291221142,0.6569323487579822,0.5376837946474552,0.5869120791554451,0.6449943542480469,0.5867038540542125,0.4882734067738056
32,-13.2975934445858,0.5208611845970154,0.6214592516422272,0.606777111440897,0.5004657827317714,0.6175088420510292,0.6063746981322765,0.6666576996445656,0.5167839735746383,0.593594266474247,0.5871933236718178,0.621101288497448,0.5128118194639683,0.5582823701202869,0.612166578322649,0.6241986028850078,0.5235805496573448,0.6158678963780403,0.6091398768126964,0.6359902046620846,0.48596312329173086,0.6062086693942547,0.6376219414174557,0.6569639392197132,0.5376457370817661,0.5867933318018913,0.6451596826314926,0.5862914644181728,0.48774551823735235
33,-13.300516933202744,0.5201024621725082,0.6219582915306091,0.6072696544229984,0.5004804603755474,0.6176003649830818,0.6065828822553158,0.6670445337891578,0.5168477356433868,0.5937354251742363,0.5870021268725395,0.6212244316935539,0.5125761426985264,0.5578051455318928,0.611429626494646,0.6240871421992779,0.5235954955220222,0.6161735787987709,0.6090782009065151,0.6363153479993343,0.486230181902647,0.6062303356826305,0.6375346355140209,0.6569904781877994,0.537611598521471,0.5866797849535942,0.6453127175569534,0.5858927689492702,0.4872324265539646
34,-13.303228825330734,0.5193567782640457,0.6224469900131225,0.6077464319765568,0.5005114994943142,0.6176961943507194,0.6067928247153759,0.6674346759915352,0.5169089496135711,0.59386215955019,0.5868082627654075,0.6213320329785347,0.5123652018606663,0.5573454596102237,0.6107124634087086,0.6239867679774761,0.5236264154314995,0.6164824202656746,0.6090272985398769,0.6366443358361721,0.48648484274744985,0.6062569640576839,0.6374657772481441,0.6570259280502796,0.5375834353268146,0.586570157110691,0.6454422086477279,0.5855031333863735,0.48674277439713476
35,-13.305908292531967,0.518614849448204,0.6229210704565048,0.608208055049181,0.5005493633449077,0.6177975818514824,0.6069991908967495,0.667830853164196,0.5169879257678985,0.593985466659069,0.5866133406758308,0.6214367136359215,0.5121641851961612,0.5569041170179844,0.6100065805017948,0.6238947235047817,0.5236570671200752,0.6167875960469246,0.608991863578558,0.6369729660451412,0.48671782240271566,0.6062909387052059,0.6374101363122463,0.6570538528263569,0.5375448264181614,0.5864580407738685,0.6455687791109085,0.5851228557527065,0.48624768331646917
36,-13.308444917201996,0.5178939610719681,0.6233791321516037,0.6086664743721485,0.5006104134023189,0.6179070606827736,0.6072141401469707,0.6682227239012718,0.5170640856027603,0.5941069856286049,0.5864026829600334,0.6215341076254844,0.5119792468845844,0.5564811773598194,0.6093185789883137,0.6238069407641887,0.5236864373087883,0.6170953497290611,0.6089635960757732,0.6373039804399013,0.486939387768507,0.6063311122357845,0.6373696349561214,0.6570814795792103,0.5375067241489887,0.5863506034016609,0.6456818044185638,0.5847583584487438,0.4857711739838123
37,-13.310895651578903,0.5171837717294693,0.6238239914178848,0.6091134048998356,0.5006786905229091,0.6180212333798408,0.6074231438338756,0.6686176940798759,0.5171541035175323,0.5942154511809349,0.5862035140395164,0.6216156765818596,0.5117922969162464,0.5560745991766453,0.6086469389498234,0.6237279497087002,0.5237274900078773,0.6174029991030693,0.6089413337409496,0.637630345672369,0.4871534578502178,0.6063721500337124,0.637333782762289,0.6571119822561741,0.5374676682054996,0.5862536266446113,0.6457850694656372,0.584391774982214,0.48531184569001196
38,-13.313222229480743,0.516483461856842,0.6242662131786346,0.6095478631556034,0.5007404707372188,0.6181393250823021,0.6076311491429806,0.6690121427178383,0.5172558188438415,0.5943195506930351,0.5859952554106712,0.6216846838593483,0.5116327948868274,0.5556810893118381,0.607991898804903,0.6236511193215847,0.5237638190388679,0.6177096799015999,0.6089299194514751,0.6379571728408336,0.48735454902052877,0.6064232312142849,0.6373133234679699,0.6571338571608066,0.5374278075993061,0.5861597642302513,0.6458681583404541,0.5840373508632183,0.4848648406565189
39,-13.315475940704346,0.5157890528440475,0.6246891975402832,0.609971622377634,0.5008310101926327,0.618268458545208,0.6078468285501003,0.6694057419896126,0.5173574298620224,0.59442008882761,0.5857879057526588,0.6217514112591743,0.5114835597574711,0.5553063549101352,0.6073565579950809,0.6235863141715526,0.523813097178936,0.6180138722062111,0.6089319013059139,0.6382850728929043,0.48754787668585775,0.6064788274466991,0.6373022966086864,0.6571634955704212,0.5373772032558918,0.5860554710030556,0.6459455698728561,0.5836917482316494,0.4844082839787006
40,-13.317682445049286,0.515118545293808,0.6250976532697677,0.6103934146463871,0.5009200148284435,0.6184058174490928,0.608055817335844,0.6698043778538704,0.5174708425998688,0.5945119991898536,0.5855678305029869,0.6218039974570274,0.511358255892992,0.5549426324665546,0.6067267157137394,0.6235308967530727,0.5238674715161323,0.6183210149407387,0.6089290998876095,0.6386165045201778,0.48773750886321066,0.6065351240336895,0.6373034738004207,0.6571950860321522,0.5373485185205936,0.5859591200947761,0.6460143536329269,0.5833477400243282,0.4839808590710163
41,-13.319824784994125,0.514453774690628,0.6255068689584732,0.6108011849224567,0.5010145179927349,0.6185410603880882,0.6082646124064922,0.6702021643519401,0.5175837934017181,0.594596041738987,0.585359288752079,0.6218415036797523,0.5112396724522114,0.5545934684574604,0.6061162449419498,0.623479949682951,0.5239259138703346,0.6186294838786125,0.6089415423572063,0.6389420203864574,0.48791791722178457,0.6065985433757305,0.6373140834271908,0.657224903255701,0.5372987188398838,0.5858656302094459,0.6460756868124008,0.5830192439258098,0.48355610147118566
42,-13.321873992681503,0.5137951731681824,0.6258958488702774,0.6112028904259205,0.5011200480163097,0.618683560192585,0.6084797106683254,0.6706041678786278,0.5177073389291763,0.5946798756718635,0.5851403757929802,0.621876610815525,0.5111327864229679,0.5542558528482914,0.6055199898779392,0.623430984467268,0.5239926859736442,0.6189322009682655,0.6089556835591793,0.6392702333629131,0.4880871050059795,0.6066638551652431,0.6373296700417995,0.6572527535259723,0.5372494705021381,0.5857714101672172,0.6461299419403076,0.582700478285551,0.4831364996731281
43,-13.323869615793228,0.5131487905979156,0.6262723118066787,0.6115981884300709,0.5012238644063473,0.6188295915722847,0.6086949281394481,0.6709981992840767,0.5178422093391418,0.5947568252682686,0.5849163070321083,0.6219034776091575,0.511018792539835,0.5539293088018894,0.6049316026270389,0.6233926139771938,0.5240602180361748,0.6192424729466438,0.6089776925742626,0.6395945720374584,0.48826089724898336,0.6067327432334423,0.6373574905097484,0.6572869218885898,0.5371997453272342,0.5856811240315437,0.6461702793836593,0.5823842756450176,0.48271813467144964
44,-13.325831860303879,0.5125078469514847,0.6266514271497726,0.6119776017963886,0.5013349674642086,0.6189776942133903,0.6089098773896694,0.6713968202471733,0.5179734289646148,0.5948277845978737,0.5846950098872185,0.6219211652874946,0.5109355546534061,0.5536152817308903,0.6043570138514042,0.623352038115263,0.5241157099604606,0.6195476934313774,0.6090056918561458,0.6399282537400722,0.4884107284247875,0.606806593388319,0.6373873822391033,0.6573207624256611,0.53716836348176,0.5855875447392463,0.6462012588977813,0.5820723049342632,0.4823074139654636
45,-13.327729940414429,0.5118737578392029,0.6270199477672577,0.6123567171394825,0.5014533869922161,0.6191355869174003,0.6091220550239086,0.6717960074543953,0.518115109205246,0.5948944672942161,0.584467826783657,0.6219323560595512,0.5108552671968937,0.553314233571291,0.6037890262901783,0.6233265869319439,0.5241927340626716,0.6198459252715111,0.6090356431901455,0.6402590595185756,0.4885548822581768,0.6068854801356792,0.6374300591647625,0.6573532618582248,0.5371157176792621,0.5854940995573997,0.6462294965982437,0.5817712120711803,0.48190213218331335
46,-13.329589754343033,0.5112518876791,0.6273773223161697,0.6127268619835377,0.5015795104205608,0.6192927494645118,0.6093448273837566,0.6721897706389427,0.5182558059692383,0.5949599429965019,0.5842393919825554,0.6219395086169243,0.5107817746698856,0.5530222006142139,0.6032268799841404,0.623297768086195,0.5242653325200081,0.6201431736350059,0.6090759061276912,0.640590550750494,0.4887004666030407,0.6069654546678066,0.637479143589735,0.6573885180056095,0.5370733983814716,0.5854082986712456,0.6462501347064972,0.581476929038763,0.4815026171505451
47,-13.331372559070587,0.510633310675621,0.6277288556098938,0.6130944438278675,0.501709821075201,0.6194511339068413,0.6095628760755062,0.6725856050848961,0.5184073507785797,0.5950248524546623,0.5840079769492149,0.6219397619366646,0.5107122011482715,0.5527353979647159,0.6026853270828724,0.6232820473611355,0.5243414774537086,0.6204465761780739,0.6091143362224102,0.6409140698611736,0.48884052261710165,0.6070489160716533,0.6375328473746776,0.657417307049036,0.5370219893753528,0.5853261783719063,0.646267569065094,0.5811891727149486,0.48110377267003057
48,-13.333180546760559,0.5100206792354584,0.6280658602714538,0.613457391411066,0.5018428586423397,0.6196181610226631,0.609775560349226,0.6729841664433479,0.5185606241226196,0.595081402361393,0.583771301805973,0.6219338312745094,0.5106669165194034,0.5524602182209492,0.6021452791988849,0.6232647322118282,0.5244178161025047,0.6207505747675895,0.6091645531356334,0.6412450395524502,0.4889723978936672,0.6071298293769359,0.6375957153737545,0.657455662637949,0.5369747377932071,0.5852373078465462,0.6462753623723984,0.580904784053564,0.4807139880955219
49,-13.334938824176788,0.5094101637601852,0.6283973813056946,0.6138100273907184,0.5019837491214275,0.6197848156094551,0.6100018791854381,0.6733725503087044,0.5187111556529999,0.5951352849602699,0.5835435971617698,0.6219172164797783,0.5106238521635532,0.5521954990923404,0.6016153939068317,0.6232500545680523,0.5244986250996589,0.6210474655032158,0.6092223100364208,0.6415732525289058,0.4891075365245342,0.6072149597108364,0.6376588217914104,0.6574910081923008,0.5369193501770496,0.5851526394486427,0.646273186802864,0.5806275032460689,0.48032025471329687
50,-13.336634635925293,0.5088140279054642,0.6287177711725235,0.6141636319458484,0.50212607011199,0.6199570879340172,0.6102231912314892,0.6737624689936638,0.5188798666000366,0.59518833309412,0.5833086058497429,0.6219009891152382,0.5105785228312015,0.5519396014511585,0.6010950453579426,0.6232388488948345,0.5246057942509651,0.621341048181057,0.6092776976525783,0.6419008396565914,0.4892272226512432,0.6073056034743786,0.6377286933362484,0.6575319565832615,0.5368673749268055,0.5850725159049034,0.6462667196989059,0.5803553186357021,0.47993160262703893
51,-13.338336914777756,0.5082157015800476,0.6290370285511017,0.6145017243921757,0.502271207422018,0.6201315507292747,0.6104475878179073,0.6741507187485695,0.5190364778041839,0.5952390864491462,0.5830687418580055,0.6218715295195579,0.5105615057051182,0.5516926445066929,0.600586349517107,0.6232345275580883,0.5246715381741524,0.6216427966952324,0.6093363933265209,0.6422290526330471,0.4893422745168209,0.6073907189071178,0.6378061793744564,0.6575671382248401,0.5368162788450718,0.5849921390414238,0.646245127916336,0.5800917915999889,0.4795451112091541
