iter,energy,gamma[0],beta[0],gamma[1],beta[1]
23,-15.351053893566132,0.2899433024227619,0.4584640547633171,0.39602411203086374,0.2516102403402328
24,-15.579306572675705,0.2794370152056217,0.45293629020452497,0.3880785148590803,0.24577434957027433
25,-15.771177858114243,0.2699401624500751,0.4479093536734581,0.38044408373534677,0.24062823355197904
26,-15.93257275223732,0.2613344587385654,0.44333149343729017,0.373179916664958,0.23609731197357176
27,-16.068399101495743,0.25354146435856817,0.4391696438193321,0.3663119863718748,0.2320540755987167
28,-16.183245569467545,0.24646074548363683,0.43538142591714857,0.3598356287926435,0.22842559814453123
29,-16.28043857216835,0.2400082744657993,0.4319224491715431,0.35376766733825205,0.2251537203788757
30,-16.3630653321743,0.2341130472719669,0.4287399038672447,0.34808631651103494,0.22220448255538938
31,-16.43368101119995,0.2287168003618717,0.4257974311709404,0.34276219122111795,0.2194912940263748
32,-16.494048088788986,0.22375995889306066,0.4230948075652122,0.33780144564807413,0.2170132756233215
33,-16.545990705490112,0.219200874119997,0.4205757811665535,0.33315883986651895,0.21474275588989256
34,-16.59083777666092,0.21499293521046636,0.41821923702955244,0.32880713455379007,0.21266826093196867
35,-16.629700005054474,0.2110965050756931,0.4160220310091972,0.3247390132397413,0.21072725057601926
36,-16.663448810577393,0.20749589279294012,0.413956506550312,0.32093602828681467,0.20893553495407102
37,-16.69294086098671,0.20414539650082586,0.41201716512441633,0.31736500971019266,0.20727415978908537
38,-16.718687295913696,0.20103698447346685,0.4101909980177879,0.3140111904591322,0.2057290732860565
39,-16.74138405919075,0.19813458099961279,0.40845353752374647,0.31086215786635873,0.2042884439229965
40,-16.761352241039276,0.1954271741211414,0.4068239316344261,0.3079000752419233,0.2029410362243652
41,-16.778952807188034,0.19289454296231268,0.4052890375256538,0.3051116358488798,0.20168705880641935
42,-16.794557332992554,0.19053017571568487,0.4038290664553642,0.3024878542870283,0.20050533711910246
43,-16.808430910110474,0.18831164613366125,0.4024218305945396,0.3000071387737989,0.199386990070343
44,-16.820805609226227,0.18622485771775243,0.40109328776597974,0.2976615022867918,0.19832085669040678
45,-16.831910341978073,0.184270391613245,0.3998197004199028,0.2954412292689085,0.19733805060386655
46,-16.841806262731552,0.18242148533463476,0.39860416799783704,0.29334409944713113,0.19639903903007505
47,-16.850756645202637,0.1806722231209278,0.397449953854084,0.2913542579859495,0.1954983830451965
48,-16.858771860599518,0.17902028039097784,0.3963326051831245,0.2894640903919935,0.19466780722141264
49,-16.866037100553513,0.1774588622152805,0.3952640876173973,0.287668202444911,0.19387266635894773
50,-16.87253898382187,0.17598673179745672,0.3942455634474754,0.28595731072127817,0.19310315549373624
51,-16.87850657105446,0.17459879294037817,0.39326071590185163,0.28433198146522043,0.1923834294080734
52,-16.88388305902481,0.17327776029706,0.3923345640301704,0.2827827375382185,0.19167587757110593
53,-16.888796240091324,0.17202080264687536,0.3914319708943367,0.2812946181744337,0.1910074710845947
54,-16.893240809440613,0.1708254165947437,0.39055262356996534,0.27988097481429575,0.19038278460502622
55,-16.897294133901596,0.1696974731981754,0.38970999270677564,0.27852926068007944,0.18979462087154386
56,-16.90102243423462,0.16862633302807806,0.38891647607088087,0.2772415470331907,0.18921767771244047
57,-16.904410541057587,0.16759551540017126,0.38813376277685163,0.2760140936821699,0.18865867555141447
58,-16.907540649175644,0.16661922112107275,0.38740491718053816,0.2748277973383665,0.18813066780567167
59,-16.910349875688553,0.1656962729990482,0.38668191283941267,0.2737068425863981,0.1876156985759735
60,-16.91302016377449,0.16480963900685308,0.3859937474131584,0.272614274546504,0.18713400363922117
61,-16.91541036963463,0.16396808102726934,0.3853104844689369,0.27158308438956735,0.18667404949665067
62,-16.917606234550476,0.1631589479744434,0.3846821472048759,0.27058929614722727,0.1862423628568649
63,-16.919623017311096,0.16238870695233343,0.38406395763158796,0.26964036040008066,0.18581262826919553
64,-16.92150628566742,0.16164513900876043,0.38345892578363416,0.2687296014279127,0.18539305627346037
65,-16.92327180504799,0.16093933060765264,0.3828794494271278,0.26783886961638925,0.18500142395496366
66,-16.924859553575516,0.160263205319643,0.38231693059206007,0.2669910829514265,0.1846223086118698
