iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5],gamma[6],beta[6],gamma[7],beta[7],gamma[8],beta[8],gamma[9],beta[9],gamma[10],beta[10],gamma[11],beta[11],gamma[12],beta[12],gamma[13],beta[13]
22,-13.427991300821304,0.40760841872241704,0.5780820829092945,0.5677805665578137,0.7155378129155878,0.5636090273428974,0.6796445585848289,0.6280804744527183,0.6578335405051647,0.5802782057987813,0.5650306632941176,0.6206911283723793,0.7066158238299021,0.58958431173551,0.5348776257913799,0.6078795716191102,0.5782952194536338,0.5955061323879155,0.5983178293272399,0.5849790881930321,0.5399687944383732,0.5850351073043719,0.47816766239449515,0.45915398271326363,0.4738179582227321,0.604987185993394,0.5790514846562971,0.6114486078414715,0.4019427195731636
23,-13.42859348654747,0.4037570070343507,0.5776876885979034,0.566169827174653,0.7163549720475505,0.5640544042726888,0.6801258563809759,0.6284259714994197,0.657982187293378,0.5801272941027373,0.564579559214327,0.6198788677725161,0.7070868941409336,0.5890081708810129,0.5340279703938561,0.6076036621706117,0.5774562730122595,0.5960065847725007,0.600150327495049,0.584420764964374,0.5402547406798222,0.5854321210662823,0.47796372181250024,0.45633850259650655,0.4740045735189364,0.6047442675004584,0.5791615324376288,0.6118053726329863,0.4000912710250391
24,-13.428647249937057,0.4035894211300481,0.5776625224657893,0.5660983887979691,0.7163910714590994,0.5640726473421309,0.6801464868588873,0.6284330681926216,0.6579918180050153,0.5801186487668168,0.5645583810430468,0.6198436789854228,0.7071082938976433,0.5889820213406125,0.5339863106933201,0.607586881561627,0.5774246999355728,0.5960348852239526,0.6002252001118218,0.5843955469234193,0.5402694424922608,0.5854383980246715,0.4779550212504582,0.4562179783154835,0.4740208922593126,0.6047303666169707,0.5791665312785564,0.6118151831689532,0.4000106887288838
25,-13.432593882083893,0.40092458389441626,0.5774703726575483,0.5647014927559094,0.7165759362703602,0.5644254946834087,0.6810833465332286,0.6288634830688504,0.6580458516088962,0.5812048286500665,0.5645924127714512,0.6189537005034201,0.7070310712751977,0.5897916293730691,0.5327697998328403,0.6067224327731455,0.5771273143675872,0.5970863335613678,0.6008364695593943,0.583850414395829,0.5401442854038545,0.5851225279370268,0.47809376442991686,0.45468664752753324,0.4741682681596337,0.6043736351624107,0.5796972438842805,0.6111372906789071,0.399306574969865
26,-13.437035501003265,0.40012364617333684,0.5769638951477974,0.5637652498387454,0.7164008386614403,0.5646497007877329,0.6817015739096185,0.6289107699450536,0.6580445417537302,0.5825009429025082,0.5651500709442383,0.6185935989686624,0.706658887591253,0.5905452396640046,0.5321212936402338,0.6066136199769155,0.5773087611156532,0.59774975537471,0.6000749414577226,0.5834698014392474,0.5401766072116171,0.585300602887592,0.47849353293770486,0.45450714505160944,0.47400112887854123,0.603876285614084,0.5801683926682535,0.6097341528593269,0.3992729790756222
27,-13.439545035362244,0.3984413513527706,0.5762260922738314,0.5631148338391752,0.7168599824248952,0.5643252487909939,0.6823315407013404,0.6294119063369644,0.6586228571443289,0.583405581164199,0.5652744114377892,0.6181245721462657,0.7065517130531367,0.5902470180378168,0.5316681346308783,0.606106185800447,0.5775526194871257,0.5981152189087772,0.5999307811773039,0.5828741673859711,0.5400691945891303,0.5847181608546353,0.4786164744693406,0.45429124705383217,0.47380733850192797,0.6034785154414883,0.5801738647157071,0.6088182016941016,0.3982090595172553
28,-13.441954404115677,0.39483396559227296,0.5745960683022248,0.5619679675804015,0.7178743492232832,0.5636773367048579,0.6834110621275314,0.6304108409862551,0.659934836168423,0.5848781805172083,0.5652463201771655,0.6172321466936486,0.7064234116431032,0.5893623103395553,0.5307117542452519,0.6050488887759321,0.5779902583389002,0.598857845260773,0.5998428195889194,0.5816553367249305,0.540032034755405,0.5834208845421106,0.4787315864586046,0.4535209397098659,0.4738207220150165,0.602985246531932,0.5801116193648015,0.6074160570557859,0.396094404531364
29,-13.442077338695526,0.39414657279856474,0.5742957748062298,0.5617206928864281,0.7180544516521283,0.5635711939590783,0.6836406485707327,0.6305869429305121,0.6601652503876806,0.585180017364264,0.5652632255426274,0.6170525999998989,0.7063918076581378,0.5892502418253709,0.5305057136241433,0.6048350038287037,0.5780701488321192,0.5990143047081642,0.5998049879549003,0.5814226402480915,0.5400111603367085,0.5831898733249001,0.4787704974922964,0.4533663356901417,0.47383495955349003,0.6028694008500105,0.580120861503246,0.6071099326752761,0.3956968576572482
30,-13.444054573774338,0.3920791914114591,0.5737015596383566,0.5609459537865806,0.7185729142873076,0.5635758435306372,0.6841125084923246,0.6308656139029454,0.6605580571328751,0.5856629302532925,0.5654465930696257,0.6164943662679185,0.7064709767915461,0.5890698449594736,0.5299160823938208,0.60407853140759,0.5780584135103636,0.599408584889475,0.6002854042811514,0.5806946701027245,0.5399869071694828,0.5827996587141718,0.4790883824796726,0.45245040370010636,0.4739626656844567,0.6025561218808883,0.5798704203761235,0.6066484814655104,0.3947351197523268
31,-13.44670221209526,0.38710973598326825,0.5718901420394187,0.55950935342471,0.7203575596383744,0.5633674104615151,0.6848816395777755,0.6315318542577324,0.6618864203991812,0.5860769357690139,0.5660849210799223,0.6153913260190013,0.706684636257804,0.5877998504589687,0.5291483474508359,0.6021271762945167,0.5783458575085574,0.5996042591595727,0.6019741557716953,0.5787899940305936,0.540200278071949,0.5817374420562462,0.48005644180377033,0.4507009869470858,0.47455618807690164,0.6019574851578673,0.5781611236672335,0.6056115415663403,0.39196003492541653
32,-13.449489563703537,0.38788261840272786,0.5719714911296543,0.5595537504513161,0.7202250351365639,0.5634473020529038,0.6847494942731235,0.6314404188514998,0.6615883405516275,0.585989467562682,0.5662454197496823,0.6155195021899602,0.7069333459038308,0.5880777881721825,0.5292668367169853,0.6030950630358514,0.5783805156333126,0.599569661879098,0.6018095559680926,0.5792378615405191,0.5399499710558764,0.5819114263113656,0.4803857683739603,0.45089300038287145,0.474943336138848,0.6017994789663745,0.5782989389696404,0.6056086135732848,0.3923896666591267
33,-13.45024624466896,0.3844769081828257,0.5702908935619941,0.5570368204275935,0.7216265165412159,0.5640791399269559,0.6855495715387576,0.6321942496198246,0.6614399096283025,0.5869132747749779,0.5677641647580345,0.6143880190769827,0.7082044506798232,0.5886217703559032,0.5282589451362179,0.6061841390150536,0.5780605975756724,0.6005900577518656,0.603394566147971,0.5794047601588179,0.5390891699213077,0.5821977044031147,0.48329298427814,0.448749570153522,0.477527004913389,0.6000225661174143,0.5774518759113325,0.6039632276125043,0.390942955521954
34,-13.453339040279388,0.3800784034972551,0.5699881199079917,0.555032221396445,0.7223838328292492,0.564668925871039,0.6873369673918849,0.6325508826074007,0.6624360246238599,0.5879114228960252,0.5681590189006817,0.6126399073052156,0.7081643322467303,0.5880389311930959,0.5268980065505237,0.6054319670593482,0.5782968010632356,0.6010596317477999,0.6049638194597357,0.5790087398933246,0.5385135004642453,0.5809875185720995,0.48350066069274367,0.4478409504974509,0.478480037926762,0.5997918843762833,0.5771794452975489,0.6023576435622885,0.39007505868807374
35,-13.453418672084808,0.37190705888542824,0.5692813171300385,0.551446849738207,0.7237840106198994,0.5656336769166588,0.6906214690307868,0.6332474882038577,0.6643723771961834,0.589914240121038,0.5687939782735315,0.6094688837667941,0.7079670884421616,0.5868650969278365,0.5243996127682454,0.6035334096072225,0.578863442532528,0.6019415266154448,0.6075640189082921,0.5779425415159705,0.5375563312365783,0.5785742868942865,0.48371299573592413,0.44614824593691504,0.4798565200690345,0.5993625813544622,0.5767231643577613,0.5993741394422195,0.38832038637134997
36,-13.457356184720993,0.3745870777672076,0.5711526323599265,0.5532288277555444,0.7227738171492647,0.5664783205563905,0.6905872578741515,0.6325301964957081,0.6640450565573757,0.5885848203110366,0.5681004128177913,0.6099996695962493,0.7077054138769391,0.5865130058518332,0.5252952786559442,0.6033344399942501,0.5788679545867838,0.601380513499516,0.60655309746758,0.579760880427865,0.5382729251137959,0.5798021562039397,0.4811429971745617,0.4469593761742829,0.4779651730566012,0.6006662490673247,0.578300238330241,0.6013181729691663,0.38949119363287993
37,-13.458345234394073,0.3760989290024709,0.5715013732187337,0.553117664513596,0.7225410045720578,0.5677847802697388,0.6915516323067733,0.6315417537687912,0.6636066390209308,0.5878358993234362,0.5691398616704362,0.610613015129809,0.7081705625064655,0.5863355693267261,0.5258713451856114,0.6046921707774363,0.5787740503844809,0.6017742899212167,0.6058311748940345,0.5802102306546543,0.5389478260918155,0.5815623770166557,0.4812834719091933,0.44637681948028596,0.4765923187089452,0.6008913269222722,0.580086021373537,0.6019038782114773,0.39052771389872626
38,-13.460449784994125,0.3777059499710217,0.5713814010222089,0.5532572250246197,0.7227133011006684,0.5679283002765232,0.6909186915014343,0.6311706179754963,0.6632887320167398,0.5868374456793821,0.5694463985224335,0.6110653530147265,0.70848967742715,0.5862359944588286,0.5266067385722045,0.6049984181476142,0.5785316162807045,0.6016188982539293,0.606098928933382,0.579909153296819,0.5388905429570707,0.5821242690792693,0.4817305839016852,0.4461360146147924,0.47691386638059835,0.600681856107685,0.5796275189224619,0.6021056695272954,0.3909168614547786
39,-13.462564051151276,0.37799067341807374,0.571520179810289,0.5533244342656244,0.7227045496988344,0.5676682973121241,0.6908376032912472,0.6309866931531207,0.6636576208822034,0.5862651674367859,0.5691577846465128,0.6110074555056438,0.7085976528287038,0.5859047197276648,0.5268115620709661,0.6038857314990631,0.5782565254217436,0.601472593905959,0.6063305564352643,0.5797403102180781,0.5388480247945272,0.5816019493394164,0.4813140192152261,0.4464506176444393,0.47687196336154264,0.6006451016075172,0.5790290582182815,0.60182341078037,0.3914030223985792
40,-13.463675171136856,0.3759811553536143,0.5709957865419116,0.5523107399427853,0.7232162552317566,0.5676177050589706,0.6913414625941405,0.6310211418494399,0.6642009477300207,0.5866610155327248,0.5693808182913217,0.6101123196107254,0.7088391492914229,0.5858194346547114,0.5260756612278911,0.6030127602623345,0.5782688419499425,0.6019529591232547,0.607023581890919,0.5793460504390882,0.5388168571292998,0.580888887969256,0.4813026279422611,0.4457607919886184,0.477306699687525,0.6002789014245868,0.5785583001344372,0.6005996159924015,0.3910321709584681
41,-13.46434473991394,0.3729622223181526,0.5706004834387085,0.5509787856468491,0.7237111400844852,0.567930801662748,0.6923230728513486,0.6308460625276715,0.6649765310303521,0.5872664729698184,0.5697924439534124,0.6085190258254726,0.7093401234603625,0.5855208390311829,0.5250295877675296,0.6020884618788523,0.5785370207338218,0.6022010666705158,0.6084107644485077,0.579251400177931,0.5383485060879075,0.5798459133763961,0.48099894188728654,0.4445310761005009,0.47777378811350024,0.5997494428269614,0.5782362563691736,0.5989637129524146,0.3906102273906437
42,-13.464345842599869,0.3728154799262599,0.5705811371130074,0.5509143102880429,0.723734808247027,0.567946940903786,0.6923722297522314,0.6308408395173357,0.6650115959184028,0.5872991951177309,0.5698130370909443,0.6084454956857637,0.7093610619260647,0.5855075093757098,0.5249787513705485,0.6020507683576571,0.5785504438505249,0.6022148857694163,0.6084727504961628,0.5792467515388521,0.5383278471167461,0.5797994606763051,0.4809888856697196,0.4444733349240815,0.47779479047253975,0.599725509348405,0.5782248636325441,0.5988891579091459,0.3905862560737312
