iter,energy,gamma[0],beta[0],phi[0],gamma[1],beta[1],phi[1],gamma[2],beta[2],phi[2],gamma[3],beta[3],phi[3]
41,-27.471520274877548,0.499885241142725,0.5359128953908594,0.7782693510621966,0.7447872802145459,0.5364618648454103,0.7107047422633836,0.5511378524212743,0.344259150926394,0.7695221093899168,0.2103416696918733,0.6362472099954841,0.6532306280702461
42,-27.47155201435089,0.49975489277732255,0.5355602264212791,0.7784195423437793,0.7448836111904493,0.5363156235446966,0.7104794739131987,0.55124782800563,0.34433869482624757,0.7695049712518257,0.21036144887423977,0.6362534395237384,0.6533975282715266
43,-27.472627341747284,0.4996994919868265,0.5355523458459955,0.7787565493140015,0.7446739463055458,0.53632876676443,0.7107086124683581,0.5511856694899395,0.3440423025314258,0.769505693171593,0.21061343624689768,0.6369298066294234,0.6534970872987567
44,-27.474293619394302,0.49916362880943993,0.534519340331927,0.7803502667345885,0.7440042952537226,0.5360889041836638,0.7111329205068042,0.5513401307067127,0.34338922425946045,0.7695541738613731,0.21171153438275972,0.6389487719401303,0.6545544261354783
45,-27.475348383188248,0.4995893813173553,0.5347935304040462,0.7792527732208958,0.744688805880618,0.5366954133718416,0.711078707631816,0.551338720753856,0.34304055520393084,0.769980984132459,0.21122328447582653,0.6378567268036449,0.6552834937239883
46,-27.47567930817604,0.4999591358240136,0.5351706650115478,0.7786536769303765,0.7451522489849299,0.5375860542669963,0.7112011152137337,0.5520008226630423,0.34319319010317834,0.7702109098810271,0.21029860647643575,0.6368797538333838,0.6552762248213583
47,-27.47580114006996,0.4999594610766675,0.5351407210888034,0.7787310103472298,0.7451145342218608,0.5377215548591666,0.711277690682456,0.5520667811068192,0.34306747079345834,0.770197711473951,0.2103710692452151,0.6370553858261438,0.6555001496982735
48,-27.47631934285164,0.49974608740676557,0.5350739054196337,0.7791370851747559,0.7447977147132979,0.5373844196901791,0.7112886379354731,0.5518845780915393,0.3431551863031572,0.7699851326360313,0.21073977853558867,0.6376427259289955,0.6553247009900827
49,-27.476345479488373,0.4994636122045142,0.5351338280922362,0.7794795554151527,0.7443080142729368,0.5370830069170908,0.7111633346783456,0.5517567177906852,0.3432497016820607,0.7697379306385606,0.21109020588061875,0.6381320053719965,0.6552462177364703
50,-27.476345479488373,0.49946361220438285,0.5351338280921749,0.7794795554154149,0.7443080142727305,0.5370830069169432,0.711163334678362,0.5517567177906599,0.3432497016820749,0.7697379306384612,0.21109020588080082,0.6381320053723516,0.6552462177364312
