iter,energy,gamma[0],beta[0]
39,-13.290195792913437,0.14913106095045803,0.22265912443399427
40,-13.292459189891815,0.14775875341147182,0.22192431837320326
41,-13.294184893369675,0.14656672012060878,0.22127081304788587
42,-13.295514285564423,0.1455334139987826,0.22068960815668104
43,-13.29651790857315,0.14463305603712795,0.22016031891107557
44,-13.297279566526413,0.1438479585573077,0.21971100419759748
45,-13.297894477844238,0.14317090939730404,0.21931104212999342
46,-13.298321694135666,0.14258080851286647,0.2189371421933174
47,-13.298664927482605,0.1420672548934817,0.21862335354089735
48,-13.29895493388176,0.14161862563341854,0.21833132058382032
49,-13.299149543046951,0.1412285132333636,0.2180753335356712
50,-13.299302071332932,0.14088714253157375,0.21784393340349195
51,-13.29940950870514,0.14058952163904903,0.2176447197794914
52,-13.299521028995514,0.14033448826521633,0.21746589094400404
53,-13.299588948488235,0.14010995756834743,0.21729914695024488
54,-13.299634724855423,0.13991756867617366,0.21716628819704054
55,-13.299684315919876,0.1397474719211459,0.2170348450541496
56,-13.299700051546097,0.1396062834188342,0.21692955344915388
57,-13.299716889858246,0.13947925101965664,0.2168367639183998
58,-13.299744218587875,0.13936416935175655,0.21674512177705763
59,-13.299752324819565,0.13926698397845028,0.21666933447122572
60,-13.299780637025833,0.13917690645903347,0.21660899966955183
61,-13.299778759479523,0.1391041738912463,0.2165412589907646
62,-13.299783885478973,0.13904132079333065,0.2164833828806877
63,-13.299797743558884,0.13897913824766872,0.2164424493908882
64,-13.299807995557785,0.1389331383630633,0.2163927987217903
65,-13.299807727336884,0.13888888191431759,0.21635262519121168
66,-13.299810528755188,0.13884416352957485,0.21633033305406568
67,-13.29982390999794,0.13880320023745296,0.21630009859800337
68,-13.29980018734932,0.13877263795584438,0.21627297848463056
69,-13.299821823835373,0.13874824475497005,0.21625751107931135
70,-13.299811989068985,0.13872540127485988,0.21624030023813245
71,-13.299811482429504,0.1387021107599139,0.21621560901403425
72,-13.299812495708466,0.1386839313432574,0.21620212346315382
73,-13.299823015928268,0.13867262136191127,0.2161900535225868
74,-13.299801051616669,0.13866005968302486,0.21618024855852125
75,-13.299802601337433,0.13864648472517727,0.2161615028977394
76,-13.299816310405731,0.1386357260867953,0.21615893989801405
77,-13.299820303916931,0.1386294675990939,0.21614740639925
78,-13.299807220697403,0.13862379025667904,0.2161394342780113
79,-13.299810767173767,0.13861581813544033,0.21613927036523817
80,-13.299819588661194,0.13860388230532406,0.21613466590642927
81,-13.299835354089737,0.1385970128700137,0.21613342911005018
82,-13.299820274114609,0.13859224449843166,0.2161217615008354
83,-13.29983526468277,0.1385870588943362,0.21612208932638166
84,-13.299805343151093,0.13858571778982876,0.21611821502447126
85,-13.299815565347672,0.13858476411551235,0.21611457914113996
86,-13.299801379442215,0.1385780734941363,0.21609574407339094
87,-13.299833178520203,0.13857437800616024,0.21610084027051923
88,-13.299822896718979,0.1385700864717364,0.21609721928834913
89,-13.299816936254501,0.13856555651873348,0.21610253900289533
90,-13.299819022417068,0.13857090603560207,0.2161033734679222
91,-13.299811452627182,0.1385742587968707,0.2160982325673103
92,-13.299817144870758,0.1385766727849841,0.21609325557947157
93,-13.299817830324173,0.13857217263430355,0.21608950048685072
94,-13.299832910299301,0.1385713381692767,0.21609335988759992
95,-13.299817055463791,0.13857294749468563,0.21609014123678205
96,-13.299814254045486,0.13857232164591549,0.21608498543500898
97,-13.299826472997665,0.13856929671019313,0.2160856559872627
98,-13.299820870161057,0.1385664952918887,0.21608355492353437
99,-13.299813121557236,0.13856752347201107,0.21609036475419996
100,-13.299833208322525,0.1385623825713992,0.21609108000993726
101,-13.299820125102997,0.13856130968779323,0.21608896404504774
102,-13.29982790350914,0.13856074344366787,0.2160951033234596
103,-13.29981529712677,0.13856512438505886,0.21608744412660597
104,-13.299822300672531,0.1385679556056857,0.21607819050550459
105,-13.299826830625534,0.1385616524145007,0.2160779371857643
106,-13.299813598394394,0.13856460284441707,0.21607917398214338
107,-13.29980793595314,0.13856372367590664,0.21607373505830763
108,-13.29981929063797,0.1385626209899783,0.21607899516820905
