iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5],gamma[6],beta[6],gamma[7],beta[7],gamma[8],beta[8],gamma[9],beta[9]
43,-13.412878155708313,0.48425822719343775,0.7186464408233486,0.7387397563848686,0.6497072204152353,0.43278349088140317,0.46849933966147767,0.6682972206807931,0.8265327802811523,0.3645214334383785,0.48484760010191014,0.7489231302314611,0.327450585171916,0.7282132671471313,0.3282153000824495,0.7890447646807689,0.4471631667327937,0.819343304545392,0.3870636890491067,0.7061563907800588,0.3908774640336911
44,-13.413186967372894,0.4845401737126083,0.7178908376672999,0.7392081824903927,0.6498605143455611,0.4340095773169072,0.4690023344306762,0.6684185783078933,0.8264838350466398,0.36451278220066047,0.4850713756617366,0.7488289785500101,0.32717053148415215,0.7278886843819818,0.3277047201694114,0.7893281165308279,0.44790520449198107,0.8187391784138661,0.38756179801112667,0.7056157210937689,0.3909140713968512
45,-13.414603590965271,0.4847802971375232,0.7144843154499122,0.7414564783668816,0.6481957087353891,0.43540604135589667,0.46896362900300265,0.668551750197164,0.8276456878416314,0.36141086944842415,0.48759520754482066,0.7459191371551073,0.32533542919955627,0.7271471101346328,0.32549023313850267,0.7880317148601879,0.4498941776626637,0.8178081142873567,0.38921456478684063,0.702751403820386,0.3896726322644095
46,-13.415009915828705,0.48497620077680037,0.7127938981520321,0.7424575016244109,0.6471562349578486,0.435807631304463,0.4686919045736571,0.6686573948461155,0.8283352127564461,0.3599109193745079,0.4887917800404886,0.7446176638708258,0.3243940694453533,0.7267649127913803,0.3242478391681996,0.7875592305796658,0.4508150202256056,0.8171778729012612,0.389963261091215,0.7015896691716058,0.3890094252918388
47,-13.416779577732086,0.4853212284300146,0.7101463238659994,0.7438221128546236,0.6451736389843453,0.4359409328115007,0.4678294365014467,0.6686380682269412,0.8297351808621423,0.3571973967453288,0.4910283110529726,0.742400854658622,0.3231451217224702,0.7260385312009113,0.32202360023102417,0.7867690193548255,0.451676149028384,0.816211556732592,0.39089746193866126,0.6998309788027923,0.38767121427509166
48,-13.424035787582397,0.4858346454564766,0.7042604163298963,0.7458430967563252,0.6397492572232153,0.43425358150161686,0.46447173008269693,0.668338173866674,0.8333951043669894,0.3504036060111639,0.4966478606227884,0.7374988084574419,0.32044066322355347,0.7249400315263199,0.31783183319604824,0.7854071407421217,0.4524749286639448,0.8150157619009797,0.3919665730161268,0.6969037986607973,0.38401139840894744
49,-13.42433276772499,0.48602622644487503,0.7023281603460705,0.7467747884279654,0.6381170653439052,0.4338645442295127,0.4636192689805384,0.6683025883098407,0.834369922385977,0.34834964405342683,0.4983881063854532,0.7359623055674503,0.31938351929493497,0.7247668124863188,0.3164465325216905,0.7849684776071117,0.4529741835750296,0.8146108215373368,0.39268338786341994,0.6958188196848173,0.3829409323610024
50,-13.427213340997696,0.4855403002693945,0.7009522436954214,0.7476718190468905,0.636499491893373,0.43312431887940545,0.4634454939466722,0.6681952583190977,0.835128325612124,0.3464830891356221,0.4999925086766559,0.7354515362551061,0.3185031565360114,0.724855678570924,0.315373575213912,0.7849938173974473,0.45346871533358774,0.815213783713435,0.39372285357251713,0.6950489308496114,0.38214591336340464
51,-13.43005684018135,0.48466776271459827,0.7014312765316879,0.7477931057009396,0.6359799843079863,0.43261689028907613,0.46380337787798626,0.6681461740582496,0.8347673320605132,0.34665446088532054,0.4997513771827093,0.7365959187248523,0.3186962157766267,0.7255478195539615,0.3156796197219702,0.786085321716416,0.4533903855618706,0.8162288817999027,0.3947936952093423,0.6955905074428971,0.3823637089515828
52,-13.430373638868332,0.4832634427536192,0.7030715985763176,0.7473365280171466,0.636268571480251,0.4325720645620923,0.46512960974085565,0.6672498518285451,0.8336706911967393,0.34739510514337235,0.49863724003814136,0.7383707124187927,0.31912015890380846,0.7268436465752859,0.3170376431161426,0.7877396009513444,0.45298190307012814,0.8179053076364966,0.39591232461498843,0.6962656457772738,0.38252259179176884
