iter,energy,gamma[0],beta[0],gamma[1],beta[1]
35,-20.278096139431,0.1837416425347328,0.4001541160047054,0.29452550075948236,0.19910838492214677
36,-20.295980393886566,0.18126009255647657,0.398512976616621,0.29171085022389887,0.19779140539467333
37,-20.311343491077423,0.17897321134805677,0.39695161804556844,0.28908490799367426,0.1965739358216524
38,-20.324853003025055,0.17684970647096632,0.39547753557562826,0.2866405215114355,0.19547569043934343
39,-20.33656769990921,0.17487902790307996,0.394119443744421,0.2843599285930395,0.19443046338856218
40,-20.34684267640114,0.17305166870355604,0.3928236685693264,0.282214668020606,0.19344703145325182
41,-20.3558748960495,0.17134919613599775,0.39158919677138326,0.280193280801177,0.19255342371761797
42,-20.363878458738327,0.16974565237760542,0.39042933508753774,0.2783016975969076,0.19167260117828844
43,-20.37094408273697,0.1682498440146446,0.3893014959990978,0.2765285488218069,0.19086193330585954
44,-20.37725180387497,0.1668523088097572,0.388249310106039,0.27485160194337366,0.19008471854031084
45,-20.382791191339493,0.16556545943021772,0.38725383803248403,0.27327343486249445,0.1893373806029558
46,-20.387750327587128,0.16433675438165662,0.38628837689757345,0.2717840638011694,0.18865376003086565
47,-20.392187476158142,0.16317866593599317,0.3853640280663967,0.27039412818849085,0.18800240047276018
48,-20.396219789981842,0.16210035830736158,0.3845025323331356,0.26905786655843256,0.18737573213875292
49,-20.399717152118683,0.16107785552740095,0.38364637121558187,0.2677973177284002,0.18679032512009142
50,-20.402970105409622,0.160124896466732,0.3828444354236126,0.2666037645190954,0.18623434789478777
51,-20.40585160255432,0.15921823531389234,0.3820836119353771,0.26545634530484674,0.1856989938765764
52,-20.40853127837181,0.1583645477890968,0.38136270865797994,0.264367726072669,0.18518025465309618
53,-20.410903066396713,0.15754626542329786,0.3806727550923824,0.2633521374315023,0.18471410162746904
54,-20.413011878728867,0.1567866340279579,0.3800214998424053,0.26235976479947565,0.18426183648407457
55,-20.414938271045685,0.15604333430528639,0.3793997339904308,0.2614457871764898,0.1838318634778261
56,-20.416663765907288,0.1553489252924919,0.3787710390985012,0.2605605538934469,0.1834213513880968
57,-20.41826543211937,0.15470307916402815,0.37818326279520986,0.25971999429166315,0.18303120918571947
58,-20.41978630423546,0.15407401174306867,0.37760761603713033,0.2589209046214819,0.18263367600739
59,-20.42117413878441,0.1534861162304878,0.37706727012991903,0.2581428851932287,0.1822681654244661
60,-20.422302544116974,0.15292572826147077,0.376539396494627,0.2574107613414526,0.1819051582366228
61,-20.423474460840225,0.15240076035261152,0.37603737637400625,0.25669853053987024,0.1815597791224718
62,-20.424460411071777,0.15190175026655195,0.3755385152995586,0.25601128898561,0.18126215822994707
63,-20.42540356516838,0.1514080002903938,0.37506327256560323,0.25537144802510736,0.1809704679995775
64,-20.426239609718323,0.15094430595636366,0.3746189646422863,0.25477303229272363,0.1806802976876497
65,-20.427045047283173,0.15049114674329755,0.3741857878863811,0.2541842576116323,0.18040818758308885
66,-20.42774534225464,0.150072006881237,0.3737866751849651,0.2536085959523916,0.18013986237347124
